transcript_ID,fold_induction,family,location
NM_083313,38.98,KIN,cytosol
NM_042544,52.43,TGF-B,cytosol
NM_069676,0.73,TER,peroxisome
NM_004641,0.41,FOS,peroxisome
NM_026055,0.4,nuclear receptor,ER
NM_018385,77.66,MAPK,peroxisome
NM_017412,6.81,KAR,mitochondria
NM_033246,0.47,nuclear receptor,mitochondria
NM_060779,0.68,TGF-B,peroxisome
NM_084921,24.63,MAPK,golgi
NM_098644,0.91,FOS,peroxisome
NM_013753,31.9,KAR,cytosol
NM_087159,45.7,KIN,mitochondria
NM_033295,0.63,MAPK,mitochondria
NM_097426,0.18,LIP,cytosol
NM_011558,0.69,JUN,nucleus
NM_026581,0.62,KAR,mitochondria
NM_006875,0.56,KIN,peroxisome
NM_062539,0.93,MAPK,ER
NM_014159,84.78,TGF-B,cytosol
NM_059875,0.67,KIN,golgi
NM_000224,37.14,TNF,cytosol
NM_039446,13.0,TNF,cytosol
NM_080950,10.86,nuclear receptor,ER
NM_097065,0.12,P53,cytosol
NM_003762,0.73,JUN,peroxisome
NM_041774,45.69,KIN,cytosol
NM_060399,0.64,MAPK,peroxisome
NM_061955,0.37,MAPK,nucleus
NM_078114,37.12,FOS,nucleus
NM_015951,0.74,LIP,cytosol
NM_047959,0.72,JUN,peroxisome
NM_031903,0.45,P53,ER
NM_034416,0.11,P53,golgi
NM_074732,61.96,TER,golgi
NM_087669,24.51,KIN,peroxisome
NM_054094,72.79,TER,nucleus
NM_017060,61.91,TNF,mitochondria
NM_092808,0.12,KIN,ER
NM_067998,0.45,MAPK,mitochondria
NM_011721,0.21,nuclear receptor,mitochondria
NM_065313,0.62,TER,ER
NM_095477,58.85,MAPK,peroxisome
NM_062184,50.18,TNF,mitochondria
NM_020337,0.73,JUN,cytosol
NM_039465,45.58,KIN,nucleus
NM_011882,0.46,KIN,cytosol
NM_034267,0.71,TER,peroxisome
NM_063469,0.75,nuclear receptor,nucleus
NM_056243,11.62,KAR,golgi
NM_027936,0.34,MAPK,cytosol
NM_091280,0.45,nuclear receptor,nucleus
NM_031718,0.24,P53,mitochondria
NM_082254,0.51,P53,ER
NM_058848,0.27,KIN,peroxisome
NM_028046,59.64,JUN,golgi
NM_042475,0.66,MAPK,golgi
NM_097095,0.82,P53,peroxisome
NM_071395,0.56,FOS,cytosol
NM_090367,20.25,TNF,ER
NM_006108,33.64,TGF-B,nucleus
NM_032225,73.76,TNF,ER
NM_043605,84.46,P53,cytosol
NM_057284,0.63,P53,nucleus
NM_036168,34.64,KIN,golgi
NM_074484,4.55,P53,peroxisome
NM_072025,0.37,MAPK,golgi
NM_048506,0.19,MAPK,cytosol
NM_098738,7.07,TER,nucleus
NM_004881,7.58,P53,mitochondria
NM_059253,0.11,KIN,golgi
NM_013855,0.36,KAR,ER
NM_003384,48.71,KAR,ER
NM_090962,46.59,P53,ER
NM_027706,60.27,TGF-B,ER
NM_012602,0.74,TGF-B,golgi
NM_025542,66.43,P53,cytosol
NM_093146,0.62,TER,golgi
NM_057440,0.65,MAPK,golgi
NM_048797,98.69,P53,golgi
NM_086580,17.26,JUN,golgi
NM_080355,70.65,TNF,mitochondria
NM_012359,0.81,TNF,ER
NM_081598,0.52,MAPK,nucleus
NM_016137,86.59,KAR,ER
NM_044930,22.21,TNF,golgi
NM_075098,0.71,JUN,cytosol
NM_065941,0.21,KAR,nucleus
NM_094508,22.04,FOS,golgi
NM_042999,0.13,P53,peroxisome
NM_003907,74.53,KIN,ER
NM_011341,91.17,TNF,cytosol
NM_049530,24.11,nuclear receptor,peroxisome
NM_054851,16.92,nuclear receptor,cytosol
NM_080624,94.46,TIMP,nucleus
NM_025222,63.61,KIN,ER
NM_034066,53.24,nuclear receptor,golgi
NM_015737,0.93,TIMP,golgi
NM_097147,0.58,TER,ER
NM_071373,0.3,nuclear receptor,mitochondria
NM_076342,0.46,TNF,golgi
NM_045514,0.94,nuclear receptor,nucleus
NM_057097,33.53,KIN,peroxisome
NM_064403,0.84,TNF,mitochondria
NM_023816,62.47,TGF-B,golgi
NM_054411,0.87,LIP,mitochondria
NM_071141,35.83,MAPK,golgi
NM_047467,0.88,TIMP,golgi
NM_090091,17.65,KIN,golgi
NM_061779,0.96,MAPK,peroxisome
NM_014764,27.94,JUN,peroxisome
NM_072889,21.0,KAR,nucleus
NM_083390,0.21,FOS,nucleus
NM_041551,13.59,KAR,cytosol
NM_022788,3.56,TNF,ER
NM_079911,59.59,LIP,nucleus
NM_036226,1.97,TNF,peroxisome
NM_060675,63.19,KAR,ER
NM_006993,63.0,nuclear receptor,golgi
NM_053161,34.72,MAPK,mitochondria
NM_050479,89.87,TER,mitochondria
NM_035618,67.51,KAR,mitochondria
NM_070789,52.78,JUN,peroxisome
NM_026845,0.22,TER,mitochondria
NM_052291,62.31,KIN,cytosol
NM_081304,0.22,P53,ER
NM_024083,0.34,nuclear receptor,golgi
NM_040745,7.96,P53,ER
NM_050342,2.17,TIMP,ER
NM_072614,0.22,KAR,ER
NM_029838,30.42,P53,nucleus
NM_068852,0.67,P53,mitochondria
NM_045927,0.98,P53,peroxisome
NM_075746,0.74,TER,nucleus
NM_077231,0.86,nuclear receptor,golgi
NM_053054,0.8,TGF-B,cytosol
NM_093685,61.88,LIP,cytosol
NM_038988,0.14,FOS,peroxisome
NM_051565,82.2,TNF,cytosol
NM_001162,85.84,nuclear receptor,mitochondria
NM_032054,0.18,FOS,peroxisome
NM_020250,32.76,P53,golgi
NM_057421,35.59,MAPK,golgi
NM_051741,0.53,TIMP,golgi
NM_087709,13.68,JUN,golgi
NM_051071,8.54,TIMP,nucleus
NM_048555,0.77,P53,peroxisome
NM_030665,0.64,FOS,mitochondria
NM_070437,24.39,KIN,cytosol
NM_031845,0.41,FOS,ER
NM_071404,0.94,TNF,cytosol
NM_020178,0.91,TGF-B,ER
NM_063929,70.86,KIN,mitochondria
NM_055254,20.4,TGF-B,ER
NM_075690,85.34,TER,ER
NM_093550,0.17,TNF,peroxisome
NM_011922,0.66,KIN,mitochondria
NM_089582,0.68,nuclear receptor,golgi
NM_092740,0.33,JUN,peroxisome
NM_059857,31.5,FOS,golgi
NM_022942,59.33,KIN,mitochondria
NM_094875,0.13,TER,peroxisome
NM_064088,0.52,P53,mitochondria
NM_094202,20.37,P53,nucleus
NM_070849,0.15,TER,mitochondria
NM_085866,1.17,TGF-B,ER
NM_055487,79.68,LIP,cytosol
NM_023077,83.12,nuclear receptor,cytosol
NM_051963,0.98,KAR,mitochondria
NM_042598,0.11,TNF,cytosol
NM_089018,27.89,LIP,mitochondria
NM_088545,1.09,FOS,nucleus
NM_086321,78.86,nuclear receptor,ER
NM_066556,0.48,FOS,cytosol
NM_078802,86.86,MAPK,golgi
NM_035012,73.13,TNF,golgi
NM_072477,0.16,nuclear receptor,mitochondria
NM_046235,22.33,TIMP,golgi
NM_025886,0.58,KIN,nucleus
NM_047700,0.62,TIMP,cytosol
NM_028783,0.57,P53,cytosol
NM_034847,0.63,LIP,cytosol
NM_001291,0.96,nuclear receptor,cytosol
NM_040169,46.99,TIMP,cytosol
NM_016002,95.67,TER,cytosol
NM_051847,50.28,JUN,cytosol
NM_089901,60.43,KAR,nucleus
NM_016557,0.36,JUN,mitochondria
NM_096868,29.94,TNF,golgi
NM_065242,9.01,KAR,peroxisome
NM_060532,63.99,P53,ER
NM_089778,3.03,KAR,mitochondria
NM_005610,0.22,TNF,nucleus
NM_001596,64.89,FOS,cytosol
NM_092398,2.85,MAPK,cytosol
NM_011023,0.47,KAR,cytosol
NM_073067,0.91,TIMP,peroxisome
NM_008823,0.6,TER,peroxisome
NM_035279,0.62,TGF-B,peroxisome
NM_042130,51.12,TGF-B,ER
NM_091915,0.27,TER,cytosol
NM_004151,7.73,KAR,nucleus
NM_089287,1.0,KAR,cytosol
NM_022021,0.42,TER,golgi
NM_098215,76.84,TGF-B,ER
NM_092692,0.64,P53,golgi
NM_063097,78.4,MAPK,golgi
NM_036827,80.68,nuclear receptor,nucleus
NM_076209,0.19,TNF,mitochondria
NM_011900,30.64,nuclear receptor,cytosol
NM_065186,0.86,TNF,ER
NM_024758,5.93,FOS,peroxisome
NM_015312,41.48,KIN,ER
NM_067642,87.26,MAPK,nucleus
NM_021214,91.33,FOS,cytosol
NM_019418,0.57,FOS,peroxisome
NM_037814,0.64,KAR,mitochondria
NM_012688,45.45,MAPK,cytosol
NM_023252,0.7,FOS,nucleus
NM_001488,2.24,TIMP,peroxisome
NM_052921,0.39,TNF,cytosol
NM_030805,0.62,MAPK,nucleus
NM_065579,0.5,FOS,peroxisome
NM_041925,31.24,nuclear receptor,nucleus
NM_002438,6.59,TGF-B,nucleus
NM_028857,0.88,JUN,cytosol
NM_062496,0.44,KIN,nucleus
NM_020844,0.44,TIMP,ER
NM_030676,68.55,FOS,cytosol
NM_020408,0.76,nuclear receptor,peroxisome
NM_010992,0.3,TER,cytosol
NM_079189,0.84,LIP,golgi
NM_039389,0.91,TNF,cytosol
NM_082160,90.86,FOS,cytosol
NM_003071,6.6,TER,cytosol
NM_090654,16.89,TIMP,cytosol
NM_060357,0.73,TGF-B,golgi
NM_077640,78.22,nuclear receptor,nucleus
NM_058519,0.82,MAPK,mitochondria
NM_086738,95.15,MAPK,cytosol
NM_002535,0.98,TER,ER
NM_046524,0.34,FOS,peroxisome
NM_030633,0.56,MAPK,cytosol
NM_012743,0.25,TGF-B,mitochondria
NM_093265,28.15,JUN,nucleus
NM_083045,0.14,P53,mitochondria
NM_050069,0.37,MAPK,golgi
NM_066854,0.24,KAR,ER
NM_003445,93.01,KIN,peroxisome
NM_027023,0.21,KIN,ER
NM_090370,91.58,KAR,nucleus
NM_016408,0.3,nuclear receptor,mitochondria
NM_084138,54.4,TER,peroxisome
NM_034257,46.77,TGF-B,golgi
NM_048875,0.18,nuclear receptor,ER
NM_052457,73.18,P53,ER
NM_006368,39.02,nuclear receptor,mitochondria
NM_017425,0.72,TER,cytosol
NM_008678,0.52,JUN,golgi
NM_057529,82.8,P53,peroxisome
NM_069485,49.66,P53,golgi
NM_071961,0.67,TIMP,mitochondria
NM_098741,7.7,LIP,nucleus
NM_044822,38.48,KAR,golgi
NM_042067,28.18,KAR,cytosol
NM_030811,0.62,nuclear receptor,ER
NM_005186,0.91,KIN,mitochondria
NM_018131,0.44,TGF-B,mitochondria
NM_084810,77.19,JUN,ER
NM_075794,6.11,JUN,peroxisome
NM_080546,0.79,TGF-B,ER
NM_098290,0.37,FOS,golgi
NM_021904,0.57,TGF-B,ER
NM_055013,0.86,TGF-B,mitochondria
